"","gisjoin","year","diff","male","female"
"205","G2102130",1820,-0.002,2417,2435
"206","G2102190",1820,0.009,2588,2501
"207","G2102210",1820,0.026,2036,1838
"208","G2102250",1820,0.022,1810,1660
"209","G2102270",1820,0.025,6186,5590
"210","G2102290",1820,0.005,8050,7897
"211","G2102310",1820,0.006,4020,3931
"212","G2102350",1820,0.017,1210,1130
"213","G2102390",1820,0.007,6189,6018
"214","G2200050",1820,0.048,2043,1685
"215","G2200070",1820,0.011,1829,1747
"216","G2200075",1820,0.032,6423,5640
"217","G2200090",1820,0.047,1228,1017
"218","G2200250",1820,0.055,1270,1017
"219","G2200290",1820,0.042,1424,1202
"220","G2200330",1820,0.026,2530,2278
"221","G2200470",1820,0.052,2436,1978
"222","G2200570",1820,0.042,2030,1718
"223","G2200690",1820,0.041,4050,3436
"224","G2200710",1820,0.028,21841,19510
"225","G2200730",1820,0.029,1532,1364
"226","G2200750",1820,0.069,1339,1015
"227","G2200770",1820,0.041,2656,2256
"228","G2200790",1820,0.052,3347,2718
"229","G2200870",1820,0.093,1562,1073
"230","G2200890",1820,0.097,2307,1555
"231","G2200910",1820,0.032,1610,1416
"232","G2200930",1820,0.035,3029,2631
"233","G2200950",1820,0.063,2170,1684
"234","G2200970",1820,0.03,5345,4740
"235","G2201030",1820,0.069,981,742
"236","G2201170",1820,0.054,1395,1122
"237","G2201210",1820,0.057,1300,1035
"238","G2201250",1820,0.031,6730,5937
"239","G2300050",1820,-0.01,24208,25171
"240","G2300090",1820,0.011,15985,15305
"241","G2300110",1820,0.004,21487,21136
"242","G2300150",1820,0.001,26633,26556
"243","G2300170",1820,0.006,13721,13383
"244","G2300190",1820,0.017,7168,6702
"245","G2300250",1820,0.006,11035,10752
"246","G2300290",1820,0.033,6794,5950
"247","G2300310",1820,-0.012,22601,23682
"248","G2400010",1820,0.029,4581,4073
"249","G2400030",1820,0.013,13944,13221
"250","G2400050",1820,0.017,17301,16162
"251","G2400090",1820,0.004,4071,4002
"252","G2400110",1820,0.006,5118,4990
"253","G2400150",1820,0.021,8368,7680
"254","G2400170",1820,-0.005,8164,8336
"255","G2400190",1820,0.008,9022,8737
"256","G2400210",1820,0.015,20838,19621
"257","G2400250",1820,0.015,8208,7716
"258","G2400290",1820,0.02,5951,5502
"259","G2400310",1820,0.013,8419,7981
"260","G2400330",1820,0.013,10369,9847
"261","G2400350",1820,0.015,7694,7258
"262","G2400370",1820,0.002,6508,6466
"263","G2400390",1820,0.005,9893,9686
"264","G2400410",1820,0,7190,7199
"265","G2400430",1820,0.022,12037,11038
"266","G2400470",1820,0.013,8933,8488
"267","G2405100",1820,-0.018,30253,32485
"268","G2500010",1820,-0.006,11863,12163
"269","G2500030",1820,-0.005,17681,18039
"270","G2500050",1820,-0.02,19617,21291
"271","G2500070",1820,-0.016,1593,1699
"272","G2500090",1820,-0.024,35544,39111
"273","G2500110",1820,-0.007,14443,14825
"274","G2500130",1820,-0.002,13966,14055
"275","G2500150",1820,-0.004,13142,13345
"276","G2500170",1820,-0.003,30553,30919
"277","G2500190",1820,-0.02,3478,3761
"278","G2500210",1820,-0.018,17577,18894
"279","G2500230",1820,-0.019,18329,19777
"280","G2500250",1820,-0.017,21204,22686
"281","G2500270",1820,-0.004,36472,37132
"282","G2650035",1820,0.326,786,166
"283","G2650095",1820,0.193,250,111
"284","G2650215",1820,0.02,467,431
"285","G2650235",1820,0.311,664,155
"286","G2650255",1820,0.057,1020,811
"287","G2650275",1820,0.121,205,125
"288","G2650375",1820,0.086,2096,1478
"289","G2800010",1820,0.035,6458,5618
"290","G2800050",1820,0.024,3593,3260
"291","G2800210",1820,0.035,3190,2773
"292","G2800310",1820,0.011,1140,1090
"293","G2800370",1820,0.012,1955,1866
"294","G2800410",1820,0.017,747,698
"295","G2800450",1820,0.085,933,661
"296","G2800590",1820,0.029,889,793
"297","G2800630",1820,0.072,3903,2919
"298","G2800770",1820,0.064,2771,2145
"299","G2800910",1820,0.039,1680,1436
"300","G2800950",1820,0.042,1475,1246
"301","G2801110",1820,0.014,1048,989
"302","G2801130",1820,0.02,2306,2132
"303","G2801490",1820,0.055,1494,1199
"304","G2801530",1820,0.01,1695,1628
"305","G2801570",1820,0.025,5098,4620
"306","G2950015",1820,0.022,3115,2853
"307","G2950035",1820,0.037,3740,3219
"308","G2950055",1820,0.047,1301,1078
"309","G2950075",1820,0.038,7220,6206
"310","G2950095",1820,0.037,986,849
"311","G2950115",1820,0.057,925,737
"312","G2950135",1820,0.031,1087,960
"313","G2950155",1820,0.051,1694,1380
"314","G2950175",1820,0.03,1217,1079
"315","G2950195",1820,0.063,2109,1638
"316","G2950215",1820,0.056,2209,1761
"317","G2950235",1820,0.03,2630,2332
"318","G2950255",1820,0.091,5924,4096
"319","G2950275",1820,0.047,1514,1255
"320","G2950295",1820,0.094,857,586
"321","G3300050",1820,-0.008,22311,23065
"322","G3300070",1820,-0.007,2738,2811
"323","G3300090",1820,-0.002,16440,16549
"324","G3300110",1820,-0.013,26264,27620
"325","G3300150",1820,-0.012,26886,28221
"326","G3300170",1820,-0.012,24943,26174
"327","G3400030",1820,0.012,9285,8853
"328","G3400050",1820,-0.006,14233,14589
"329","G3400090",1820,0.022,2226,2039
"330","G3400110",1820,-0.001,6324,6344
"331","G3400130",1820,0.001,15434,15359
"332","G3400150",1820,0.017,11921,11150
"333","G3400190",1820,-0.003,14161,14352
"334","G3400230",1820,-0.003,10673,10797
"335","G3400250",1820,0.011,12782,12256
"336","G3400270",1820,0,10681,10687
"337","G3400330",1820,0.011,7167,6855
"338","G3400350",1820,0.006,8351,8155
"339","G3400370",1820,0.012,16785,15967
"340","G3600010",1820,-0.003,18939,19177
"341","G3600030",1820,0.029,4933,4397
"342","G3600070",1820,0.013,7359,6984
"343","G3600090",1820,0.051,2252,1838
"344","G3600110",1820,0.014,19998,18899
"345","G3600130",1820,0.025,6596,5972
"346","G3600170",1820,0.008,15854,15361
"347","G3600190",1820,0.043,6558,5512
"348","G3600210",1820,-0.005,18977,19353
"349","G3600230",1820,0.009,8403,8104
"350","G3600250",1820,0.008,13517,13070
"351","G3600270",1820,0.005,23521,23094
"352","G3600310",1820,0.015,6603,6208
"353","G3600330",1820,0.032,2361,2078
"354","G3600370",1820,0.022,30330,27735
"355","G3600390",1820,0.007,11656,11340
"356","G3600410",1820,0.034,668,583
"357","G3600430",1820,0.01,15784,15161
"358","G3600450",1820,0.037,17679,15273
"359","G3600470",1820,0.022,5841,5346
"360","G3600490",1820,0.025,4842,4385
"361","G3600530",1820,0.008,16367,15841
"362","G3600570",1820,0.005,18950,18611
"363","G3600610",1820,-0.018,59683,64023
"364","G3600630",1820,0.032,12238,10752
"365","G3600650",1820,0.008,25886,25111
"366","G3600670",1820,0.012,21228,20239
"367","G3600690",1820,0.013,45289,42978
"368","G3600710",1820,0.008,20939,20274
"369","G3600750",1820,0.027,6522,5852
"370","G3600770",1820,0,22426,22430
"371","G3600790",1820,0.003,5664,5604
"372","G3600810",1820,0.008,10921,10598
"373","G3600830",1820,0,20037,20077
"374","G3600850",1820,0.023,3209,2926
"375","G3600870",1820,0.013,4530,4307
"376","G3600890",1820,0.031,8513,7524
"377","G3600910",1820,0.003,18118,17934
"378","G3600930",1820,0.01,6567,6309
"379","G3600950",1820,0.013,11878,11269
"380","G3600990",1820,0.013,12119,11500
"381","G3601010",1820,0.025,11550,10439
"382","G3601030",1820,-0.003,11885,12045
"383","G3601050",1820,0.02,4627,4273
"384","G3601070",1820,0.018,8798,8173
"385","G3601090",1820,0.011,10572,10109
"386","G3601110",1820,0.016,15959,14975
"387","G3601130",1820,0.009,4815,4638
"388","G3601150",1820,0.008,19723,19108
"389","G3601190",1820,0.003,16413,16225
"390","G3700070",1820,0.007,6351,6183
"391","G3700090",1820,0.02,2255,2080
"392","G3700130",1820,0.005,4971,4879
"393","G3700150",1820,-0.002,5380,5425
"394","G3700170",1820,-0.014,3536,3740
"395","G3700190",1820,0.009,2792,2688
"396","G3700210",1820,0.013,5410,5132
"397","G3700230",1820,0.006,6782,6629
"398","G3700250",1820,0.011,3706,3542
"399","G3700290",1820,0.006,3211,3136
"400","G3700310",1820,-0.006,2773,2836
"401","G3700330",1820,0.01,6753,6500
"402","G3700370",1820,-0.001,6324,6337
"403","G3700410",1820,0.012,3307,3157
