"diocese","rite","lat","long","event","date"
"Grouard-McLennan, Alberta","Latin",55.7109,-116.907,"erected","1967-07-13"
"Halifax-Yarmouth, Nova Scotia","Latin",44.0472,-64.7224,"erected","1842-02-15"
"Hamilton, Ontario","Latin",43.25,-79.8661,"erected","1856-02-29"
"Hearst, Ontario","Latin",49.688,-83.667,"erected","1938-12-03"
"Joliette, Quebec","Latin",46.0232,-73.4392,"erected","1904-01-27"
"Kamloops, British Columbia","Latin",50.6745,-120.327,"erected","1945-12-22"
"Keewatin-Le Pas, Manitoba","Latin",53.8183,-101.241,"erected","1967-07-13"
"Kingston, Ontario","Latin",44.2312,-76.486,"erected","1826-01-27"
"London, Ontario","Latin",42.987,-81.2432,"erected","1855-02-21"
"Mackenzie-Fort Smith, Northwest Territory","Latin",60.0055,-111.885,"erected","1967-07-13"
"Mar Addai of Toronto","Chaldean",43.6532,-79.3832,"erected","2011-06-10"
"Moncton, New Brunswick","Latin",46.0878,-64.7782,"erected","1936-02-22"
"Mont-Laurier, Quebec","Latin",46.5527,-75.4974,"erected","1913-04-21"
"Montreal, Quebec","Latin",45.5087,-73.554,"erected","1836-05-13"
"Moosonee, Ontario","Latin",51.2731,-80.64,"erected","1967-07-13"
"Nelson, British Columbia","Latin",49.4928,-117.295,"erected","1936-02-22"
"New Westminster, British Columbia","Byzantine",49.2057,-122.911,"erected","1974-06-27"
"Nicolet, Quebec","Latin",46.2274,-72.6192,"erected","1885-07-10"
"Ottawa, Ontario","Latin",45.4215,-75.6972,"erected","1847-06-25"
"Pembroke, Ontario","Latin",45.8267,-77.1109,"erected","1898-05-04"
"Peterborough, Ontario","Latin",44.3091,-78.3197,"erected","1882-07-11"
"Prince-Albert, Saskatchewan","Latin",53.2033,-105.753,"erected","1907-12-02"
"Prince George, British Columbia","Latin",53.9171,-122.75,"erected","1967-07-13"
"Quebec, Quebec","Latin",46.8033,-71.2428,"erected","1674-10-01"
"Regina, Saskatchewan","Latin",50.4547,-104.607,"erected","1910-03-04"
"Rimouski, Quebec","Latin",48.4333,-68.5167,"erected","1867-01-15"
"Rouyn-Noranda, Quebec","Latin",48.2342,-79.0188,"erected","1973-11-29"
"Saint-Boniface, Manitoba","Latin",49.8626,-97.0601,"erected","1847-06-04"
"Saint Catharines, Ontario","Latin",43.1594,-79.2469,"erected","1958-11-22"
"Sainte-Anne-de-la-Pocatiere, Quebec","Latin",47.3286,-70.0405,"erected","1951-06-23"
"Saint-Hyacinthe, Quebec","Latin",45.6307,-72.9563,"erected","1852-06-08"
"Saint-Jean-Longueuil, Quebec","Latin",45.5345,-73.5049,"erected","1933-06-09"
"Saint-Jerome, Quebec","Latin",45.7754,-74.0049,"erected","1951-06-23"
"Saint John, New Brunswick","Latin",45.2733,-66.0633,"erected","1842-09-30"
"Saint John's, Newfoundland","Latin",47.5605,-52.7128,"erected","1847-06-04"
"Saint-Maron de Montreal","Antiochian",45.56,-73.6668,"erected","1982-08-27"
"Saint Paul in Alberta","Latin",53.9911,-111.295,"erected","1948-07-17"
"Saint-Sauveur de Montreal","Byzantine",45.5348,-73.6719,"erected","1984-09-01"
"Toronto, Ontario","Byzantine",43.6532,-79.3832,"erected","1980-10-13"
"Gravelbourg, Saskatchewan","Latin",49.8757,-106.557,"erected","1930-01-31"
"Saskatoon, Saskatchewan","Latin",52.1344,-106.648,"erected","1933-06-09"
"Saskatoon, Sasketchewan","Byzantine",52.1344,-106.648,"erected","1956-11-03"
"Sault Sainte Marie, Ontario","Latin",46.4953,-84.3453,"erected","1904-09-16"
"Sherbrooke, Quebec","Latin",45.401,-71.8824,"erected","1874-08-28"
"Thunder Bay, Ontario","Latin",48.3809,-89.2477,"erected","1952-04-29"
"Timmins, Ontario","Latin",48.4758,-81.3305,"erected","1915-12-31"
"Toronto, Ontario","Latin",43.6532,-79.3832,"erected","1841-12-17"
"Toronto, Ontario","Byzantine",43.6532,-79.3832,"erected","1956-11-03"
"Trois Rivieres, Quebec","Latin",46.3432,-72.5433,"erected","1852-06-08"
"Valleyfield, Quebec","Latin",45.2501,-74.1331,"erected","1892-04-05"
"Vancouver, British Columbia","Latin",49.2612,-123.114,"erected","1890-09-02"
"Victoria, British Columbia","Latin",48.4284,-123.366,"erected","1846-07-24"
"Whitehorse, Yukon","Latin",60.7212,-135.057,"erected","1967-07-13"
"Winnipeg, Manitoba","Latin",49.8998,-97.1375,"erected","1915-12-04"
"Winnipeg, Manitoba","Byzantine",49.8998,-97.1375,"erected","1956-11-03"
"Acapulco, Guerrero","Latin",16.8638,-99.8816,"erected","1958-03-18"
"Aguascalientes, Aguascalientes","Latin",21.8785,-102.291,"erected","1899-08-27"
"Antequera, Oaxaca","Latin",17.0692,-96.7158,"erected","1535-06-21"
"Apatzingan, Michoacan","Latin",19.0833,-102.35,"erected","1962-04-30"
"Atlacomulco, Mexico","Latin",19.3977,-99.0385,"erected","1984-11-03"
"Autlan, Jalisco","Latin",19.7708,-104.367,"erected","1961-01-28"
"Campeche, Campeche","Latin",19.8301,-90.5349,"erected","1895-03-24"
"Chihuahua, Chihuahua","Latin",28.6306,-106.074,"erected","1891-06-23"
"Chilpancingo-Chilapa, Guerrero","Latin",17.5818,-99.3896,"erected","1863-03-16"
"Ciudad Altamirano, Guerrero","Latin",18.3583,-100.667,"erected","1964-10-27"
"Ciudad Guzman, Jalisco","Latin",19.705,-103.469,"erected","1972-03-25"
"Ciudad Juarez, Chihuahua","Latin",31.7388,-106.483,"erected","1957-04-10"
"Ciudad Lazaro Cardenas, Michoacan","Latin",17.9694,-102.213,"erected","1985-10-11"
"Ciudad Obregon, Sonora","Latin",27.4939,-109.939,"erected","1959-06-20"
"Ciudad Valles, San Luis Potosi","Latin",21.9884,-99.0044,"erected","1960-11-27"
"Ciudad Victoria, Tamaulipas","Latin",23.7369,-99.1411,"erected","1964-12-21"
"Tampico, Tamaulipas","Latin",22.2945,-97.8534,"erected","1870-03-12"
"Coatzacoalcos, Veracruz","Latin",18.1248,-94.4601,"erected","1984-03-14"
"Colima, Colima","Latin",19.2452,-103.733,"erected","1881-12-11"
"Cordoba, Veracruz","Latin",18.8839,-96.9238,"erected","2000-04-15"
"Cuauhtemoc-Madera, Chihuahua","Latin",28.6119,-106.061,"erected","1995-11-17"
"Cuautitlan, Mexico","Latin",19.6722,-99.181,"erected","1979-02-05"
"Cuernavaca, Morelos","Latin",18.9186,-99.2342,"erected","1891-06-23"
"Culiacan, Sinaloa","Latin",24.8048,-107.385,"erected","1959-02-16"
"Durango, Durango","Latin",24.0277,-104.653,"erected","1620-09-28"
"Ecatepec, Mexico","Latin",19.6018,-99.0507,"erected","1995-06-28"
