"﻿id","name","gender","dates","yearOfBirth","yearOfDeath","placeOfBirth","placeOfDeath","url","lon","lat","born.lon","born.lat","died.lon","died.lat","address"
1499,"Leverett, David","Male","born 1938",1938,NA,"Nottingham, United Kingdom","","http://www.tate.org.uk/art/artists/david-leverett-1499",-1.15811,52.9548,-1.15811,52.9548,NA,NA,NA
2753,"Levine, Sherrie","Female","born 1947",1947,NA,"Hazleton, United States","","http://www.tate.org.uk/art/artists/sherrie-levine-2753",-75.9746,40.9584,-75.9746,40.9584,NA,NA,NA
1943,"Levy, Simon","Male","1886–1973",1886,1973,"Strasbourg, France","Paris, France","http://www.tate.org.uk/art/artists/simon-levy-1943",7.75211,48.5734,7.75211,48.5734,2.35222,48.8566,"paris, france"
1500,"Lewis, A. Neville","Male","1895–1972",1895,1972,"Cape Town, South Africa","","http://www.tate.org.uk/art/artists/a-neville-lewis-1500",18.4241,-33.9249,18.4241,-33.9249,NA,NA,NA
349,"Lewis, George Robert","Male","1782–1871",1782,1871,"London, United Kingdom","","http://www.tate.org.uk/art/artists/george-robert-lewis-349",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
350,"Lewis, John Frederick","Male","1805–1876",1805,1876,"London, United Kingdom","","http://www.tate.org.uk/art/artists/john-frederick-lewis-350",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
1501,"Lewis, Morland","Male","1903–1943",1903,1943,"Carmarthen, United Kingdom","North Africa","http://www.tate.org.uk/art/artists/morland-lewis-1501",-4.31213,51.8576,-4.31213,51.8576,25.6628,23.4162,"north africa"
1502,"Lewis, Wyndham","Male","1882–1957",1882,1957,"Amherst, Canada","London, United Kingdom","http://www.tate.org.uk/art/artists/wyndham-lewis-1502",-64.2167,45.8167,-64.2167,45.8167,-0.127758,51.5074,"london, uk"
1504,"LeWitt, Sol","Male","1928–2007",1928,2007,"Hartford, United States","New York, United States","http://www.tate.org.uk/art/artists/sol-lewitt-1504",-72.6851,41.7637,-72.6851,41.7637,-74.0059,40.7128,"new york, ny, usa"
1506,"Lhote, André","Male","1885–1962",1885,1962,"Bordeaux, France","Paris, France","http://www.tate.org.uk/art/artists/andre-lhote-1506",-0.57918,44.8378,-0.57918,44.8378,2.35222,48.8566,"paris, france"
7467,"Li, Yuan-chia","Male","1929–1994",1929,1994,"Zhonghua","Carlisle, United Kingdom","http://www.tate.org.uk/art/artists/li-yuan-chia-7467",122.02,41.1614,122.02,41.1614,-2.93293,54.8925,"carlisle, carlisle, cumbria, uk"
13716,"Libera, Zbigniew","Male","born 1959",1959,NA,"Pabianice, Polska","","http://www.tate.org.uk/art/artists/zbigniew-libera-13716",19.3578,51.6567,19.3578,51.6567,NA,NA,NA
1507,"Liberman, Alexander","Male","1912–1999",1912,1999,"Kiyev, Ukrayina","","http://www.tate.org.uk/art/artists/alexander-liberman-1507",30.5234,50.4501,30.5234,50.4501,NA,NA,NA
1508,"Lichtenstein, Roy","Male","1923–1997",1923,1997,"New York, United States","Manhattan Island","http://www.tate.org.uk/art/artists/roy-lichtenstein-1508",-74.0059,40.7128,-74.0059,40.7128,-75.9163,44.3526,"manhattan island, alexandria bay, ny 13640, usa"
2237,"Lieber, Tom","Male","born 1949",1949,NA,"Saint Louis, United States","","http://www.tate.org.uk/art/artists/tom-lieber-2237",-90.1994,38.627,-90.1994,38.627,NA,NA,NA
1509,"Liebermann, Max","Male","1847–1935",1847,1935,"Berlin, Deutschland","Berlin, Deutschland","http://www.tate.org.uk/art/artists/max-liebermann-1509",13.405,52.52,13.405,52.52,13.405,52.52,"berlin, germany"
1510,"Lightfoot, Maxwell Gordon","Male","1886–1911",1886,1911,"Liverpool, United Kingdom","London, United Kingdom","http://www.tate.org.uk/art/artists/maxwell-gordon-lightfoot-1510",-2.99157,53.4084,-2.99157,53.4084,-0.127758,51.5074,"london, uk"
10429,"Ligon, Glenn","Male","born 1960",1960,NA,"Bronx, United States","","http://www.tate.org.uk/art/artists/glenn-ligon-10429",-73.8654,40.837,-73.8654,40.837,NA,NA,NA
1511,"Lijn, Liliane","Female","born 1939",1939,NA,"New York, United States","","http://www.tate.org.uk/art/artists/liliane-lijn-1511",-74.0059,40.7128,-74.0059,40.7128,NA,NA,NA
1512,"Lim, Kim","Female","1936–1997",1936,1997,"Singapore","London, United Kingdom","http://www.tate.org.uk/art/artists/kim-lim-1512",103.82,1.35208,103.82,1.35208,-0.127758,51.5074,"london, uk"
1513,"Lin, Richard","Male","born 1933",1933,NA,"Chung-hua Min-kuo","","http://www.tate.org.uk/art/artists/richard-lin-1513",NA,NA,NA,NA,NA,NA,NA
10844,"Linder","Female","born 1954",1954,NA,"Liverpool, United Kingdom","","http://www.tate.org.uk/art/artists/linder-10844",-2.99157,53.4084,-2.99157,53.4084,NA,NA,NA
1514,"Lindner, Richard","Male","1901–1978",1901,1978,"Hamburg, Deutschland","New York, United States","http://www.tate.org.uk/art/artists/richard-lindner-1514",9.99368,53.5511,9.99368,53.5511,-74.0059,40.7128,"new york, ny, usa"
1515,"Lindström, Bengt","Male","born 1925",1925,NA,"Sverige","","http://www.tate.org.uk/art/artists/bengt-lindstrom-1515",18.6435,60.1282,18.6435,60.1282,NA,NA,NA
1516,"Ling, Rita M.","Female","born 1922",1922,NA,"Wolverhampton, United Kingdom","","http://www.tate.org.uk/art/artists/rita-m-ling-1516",-2.12882,52.587,-2.12882,52.587,NA,NA,NA
13288,"Ling, Simon","Male","born 1968",1968,NA,"London, United Kingdom","","http://www.tate.org.uk/art/artists/simon-ling-13288",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
15409,"Linke, Simon","Male","born 1958",1958,NA,"Benalla, Australia","","http://www.tate.org.uk/art/artists/simon-linke-15409",145.982,-36.5515,145.982,-36.5515,NA,NA,NA
351,"Linnell, John","Male","1792–1882",1792,1882,"London, United Kingdom","Redhill, United Kingdom","http://www.tate.org.uk/art/artists/john-linnell-351",-0.127758,51.5074,-0.127758,51.5074,-0.16988,51.2392,"redhill, surrey, uk"
2268,"Linnell, William","Male","1826–1906",1826,1906,"","","http://www.tate.org.uk/art/artists/william-linnell-2268",NA,NA,NA,NA,NA,NA,NA
352,"Linton, William","Male","1791–1876",1791,1876,"Liverpool, United Kingdom","London, United Kingdom","http://www.tate.org.uk/art/artists/william-linton-352",-2.99157,53.4084,-2.99157,53.4084,-0.127758,51.5074,"london, uk"
1517,"Lion, Flora","Female","1878–1958",1878,1958,"London, United Kingdom","","http://www.tate.org.uk/art/artists/flora-lion-1517",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
1518,"Lipchitz, Jacques","Male","1891–1973",1891,1973,"Lietuva","Capri, Isola di, Italia","http://www.tate.org.uk/art/artists/jacques-lipchitz-1518",23.8813,55.1694,23.8813,55.1694,14.2222,40.5532,"capri, italy"
1519,"Lissitzky, El","Male","1890–1941",1890,1941,"Pochinok, Rossiya","Moskva, Rossiya","http://www.tate.org.uk/art/artists/el-lissitzky-1519",32.45,54.4,32.45,54.4,37.6173,55.7558,"moscow, russia"
1520,"Livens, Horace Mann","Male","1862–1936",1862,1936,"Croydon, United Kingdom","Harrow, United Kingdom","http://www.tate.org.uk/art/artists/horace-mann-livens-1520",-0.098234,51.3762,-0.098234,51.3762,-0.341995,51.5806,"harrow, greater london, uk"
2438,"Liverseege, Henry","Male","1803–1832",1803,1832,"","","http://www.tate.org.uk/art/artists/henry-liverseege-2438",NA,NA,NA,NA,NA,NA,NA
353,"Llewellyn, Sir William","Male","1858–1941",1858,1941,"Cirencester, United Kingdom","London, United Kingdom","http://www.tate.org.uk/art/artists/sir-william-llewellyn-353",-1.96824,51.7185,-1.96824,51.7185,-0.127758,51.5074,"london, uk"
2765,"Lloyd, Hilary","Female","born 1964",1964,NA,"Halifax, United Kingdom","","http://www.tate.org.uk/art/artists/hilary-lloyd-2765",-1.85754,53.727,-1.85754,53.727,NA,NA,NA
