"","university","count","earliest_year","latest_year","lon","lat"
"168","Westminster Theological Seminary.",58,1985,2012,-75.1757473,40.0992319
"169","University of Waterloo (Canada).",56,1977,2009,-80.5448576,43.4722854
"170","Duquesne University.",55,1988,2013,-79.9914615,40.4372706
"171","Western Michigan University.",54,1994,2013,-85.6152186,42.2831778
"172","University of Idaho.",52,1965,2012,-117.0126084,46.7288124
"173","California Institute of Integral Studies.",52,1977,2013,-122.416178,37.774583
"174","Regent University.",51,1994,2013,-76.191591,36.7990277
"175","The University of Akron.",51,1974,2012,-81.5102535,41.0763656
"176","University of Guelph (Canada).",50,1971,2011,-75.6378949,45.006289
"177","The Jewish Theological Seminary of America.",50,1980,2013,-73.9606117,40.811899
"178","University of Missouri - Kansas City.",49,1964,2013,-94.5505305,39.0917939
"179","Florida International University.",46,1994,2013,-80.376174,25.7581198
"180","Pacifica Graduate Institute.",46,1995,2012,-119.580987,34.421235
"181","University of New Brunswick (Canada).",45,1976,2011,-66.6406975,45.9454276
"182","University of Nevada, Reno.",43,1972,2013,-119.8191047,39.5467263
"183","Virginia Commonwealth University.",43,1989,2012,-77.4534286,37.5489872
"184","The University of North Carolina at Greensboro.",43,1992,2012,-79.8057288,36.0663077
"185","Trinity Evangelical Divinity School.",42,1990,2007,-87.8823219,42.1994501
"186","New Orleans Baptist Theological Seminary.",41,1990,2012,-90.0714607,29.9771475
"187","University of Louisville.",40,1976,2012,-85.7568149,38.2136878
"188","Hebrew Union College - Jewish Institute of Religion (Ohio).",38,1980,2012,-82.907123,40.4172871
"189","Georgia Institute of Technology.",38,1973,2012,-84.396285,33.7756178
"190","Andrews University.",37,1982,2012,-86.3591598,41.9564842
"191","University of St. Michael's College (Canada).",36,1974,2010,-79.3900115,43.6673047
"192","The University of Saskatchewan (Canada).",36,1972,2012,-106.6236777,52.138997
"193","Northeastern University.",34,1983,2013,-71.0891717,42.3398067
"194","Southeastern Baptist Theological Seminary.",33,1999,2012,-78.514221,35.9803954
"195","Yeshiva University.",33,1956,2013,-73.929274,40.8504757
"196","The Iliff School of Theology and University of Denver.",32,1987,2008,-104.9604243,39.6758185
"197","University of Nevada, Las Vegas.",31,1995,2012,-115.1387236,36.1054711
"198","Oregon State University.",30,1970,2012,-123.2794752,44.5637355
"199","Rensselaer Polytechnic Institute.",29,1988,2012,-73.6788026,42.730172
"200","Mid-America Baptist Theological Seminary.",29,1995,2012,-90.0181461,35.1437009
"201","Memphis State University.",29,1974,1993,-90.0489801,35.1495343
"202","University of California, San Francisco.",28,1972,2012,-122.4258437,37.7716141
"203","Texas Woman's University.",28,1982,2012,-97.1272887,33.2265342
"204","Colorado State University.",27,1972,2008,-105.0865473,40.573436
"205","Salve Regina University.",26,1994,2013,-71.3031968,41.4726383
"206","Indiana University of Pennsylvania.",25,1989,2013,-79.158242,40.6169
"207","University of South Florida.",23,1989,2013,-82.4138539,28.0587031
"208","Walden University.",23,1993,2013,-93.265738,44.981374
"209","Lutheran School of Theology at Chicago.",23,1995,2012,-87.5989379,41.7955896
"210","Middle Tennessee State University.",22,2007,2013,-86.3593732,35.8467089
"211","University of Wyoming.",21,1972,2010,-105.5796706,41.3130972
"212","Capella University.",21,2000,2013,-93.2685615,44.9761142
"213","Dallas Theological Seminary.",21,1993,2013,-96.7808543,32.7948872
"214","University of New Orleans.",20,1987,2011,-90.0633038,30.0306794
"215","Union Theological Seminary in Virginia.",20,1964,1998,-77.4494636,37.578845
"216","Universite du Quebec a Montreal (Canada).",19,2005,2007,-73.6137592,45.5056156
"217","University of Montana.",19,1970,2012,-113.9852081,46.8600672
"218","University of Dallas.",19,1974,2010,-96.9194984,32.845549
"219","University of Southwestern Louisiana.",18,1975,1999,-92.0181642,30.2165443
"220","The University of Texas at El Paso.",18,2006,2012,-106.506257,31.7741317
"221","Asbury Theological Seminary.",18,2001,2013,-84.6602771,37.8624058
"222","United States International University.",17,1974,1997,-119.044471,35.370552
"223","Hartford Seminary.",17,1938,1978,-72.7076241,41.7699134
"224","Trinity International University.",17,2008,2012,-87.88075,42.1982366
"225","Gonzaga University.",17,1995,2010,-117.4028769,47.6672326
"226","University of Rhode Island.",17,1990,2006,-71.5317118,41.4863755
"227","Wilfrid Laurier University (Canada).",16,1999,2012,-80.5281759,43.4742205
"228","Royal Military College of Canada (Canada).",15,2000,2012,-76.4676064,44.2316723
"229","Old Dominion University.",15,1991,2008,-76.3043925,36.8860153
"230","Florida Atlantic University.",15,2001,2012,-80.1043409,26.3743763
"231","University of Louisiana at Lafayette.",14,2000,2011,-92.0181642,30.2165443
"232","Morgan State University.",14,2000,2011,-76.5845846,39.3435122
